id;name;description;created_at;created_by;last_modified_at;last_modified_by
e59b8f42-fd4b-11ec-b939-0242ac120002;ROLE_ADMIN;Administrator role with full access;2024-10-21 00:00:00;system;2024-10-21 00:00:00;system
e59b91f2-fd4b-11ec-b939-0242ac120002;ROLE_USER;Regular user role with limited access;2024-10-21 00:00:00;system;2024-10-21 00:00:00;system
